"Time","Source","Destination","Info"
"06:06:40.185036","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","[TCP Keep-Alive ACK] 37390  >  https(443) [ACK] Seq=4341 Ack=2328 Win=3931 Len=0 TSval=121613 TSecr=66060052"
"06:06:40.213632","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:40.217531","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:40.222638","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=4746 Ack=2375 Win=3931 Len=0 TSval=121617 TSecr=66061154"
"06:06:42.317012","166.104.142.150","172.17.0.1","47668  >  discard(9) Len=1"
"06:06:42.317637","166.104.142.150","172.17.0.1","35789  >  discard(9) Len=1"
"06:06:42.519431","166.104.142.150","172.17.0.1","35189  >  discard(9) Len=1"
"06:06:42.519479","166.104.142.150","172.17.0.1","48846  >  discard(9) Len=1"
"06:06:43.063753","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:43.134162","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=908 Ack=1318 Win=1372 Len=0 TSval=1896030919 TSecr=3599066381"
